adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,genre_names
False,/pB4FUn08MqRgjxIIUVElljpmnt8.jpg,"[16, 10751, 14]",14836,en,Coraline,"Wandering her rambling old house in her boring new town, 11-year-old Coraline discovers a hidden door to a strangely idealized version of her life. In order to stay in the fantasy, she must make a frighteningly real sacrifice.",231.118,/4jeFXQYytChdZYE9JYO7Un87IlW.jpg,2009-02-05,Coraline,False,7.888,7956,"['Animation', 'Family', 'Fantasy']"
False,/j9eOeLlTGoHoM8BNUJVNyWmIvCi.jpg,"[10749, 35]",1072790,en,Anyone But You,"After an amazing first date, Bea and Ben’s fiery attraction turns ice cold — until they find themselves unexpectedly reunited at a destination wedding in Australia. So they do what any two mature adults would do: pretend to be a couple.",155.748,/5qHoazZiaLe7oFBok7XlUhg96f2.jpg,2023-12-21,Anyone But You,False,6.968,2122,"['Romance', 'Comedy']"
False,/hdFIdXwS8FSN2wIsuotjW1mshI0.jpg,"[16, 35, 12, 10751]",831815,en,Saving Bikini Bottom: The Sandy Cheeks Movie,"When Bikini Bottom is scooped from the ocean, scientific squirrel Sandy Cheeks and her pal SpongeBob SquarePants saddle up for Texas to save their town.",253.623,/30YnfZdMNIV7noWLdvmcJS0cbnQ.jpg,2024-10-18,Saving Bikini Bottom: The Sandy Cheeks Movie,False,6.4,14,"['Animation', 'Comedy', 'Adventure', 'Family']"
False,/NqqLef2ITlK8olXT4iFuUXFwSh.jpg,"[9648, 53, 27]",840705,en,Blink Twice,"When tech billionaire Slater King meets cocktail waitress Frida at his fundraising gala, he invites her to join him and his friends on a dream vacation on his private island. But despite the epic setting, beautiful people, ever-flowing champagne, and late-night dance parties, Frida can sense that there’s something sinister hiding beneath the island’s lush façade.",209.308,/lZGOK0I2DJSRlEPNOAFTSNxSjDD.jpg,2024-08-21,Blink Twice,False,6.809,724,"['Mystery', 'Thriller', 'Horror']"
False,,"[53, 28]",1358752,es,Skinford 2: The Curse,,202.312,/auWtuSMLyiViVefPsj9JZA84n9I.jpg,2024-05-20,Skinford 2: The Curse,False,2.0,1,"['Thriller', 'Action']"
False,/9ifX42tfIXLCXx7Kf52Nf6e38hb.jpg,[27],1331344,es,No Voltees,"When two siblings return to their childhood home, they are confronted by a violent, supernatural presence that dwells deep within their worst traumas.",208.337,/g3ZeqO6cNvr6cbfUn2FYZ7wAZ6f.jpg,2024-09-20,No Voltees,False,8.0,4,['Horror']
False,/9juRmk8QjcsUcbrevVu5t8VZy5G.jpg,"[28, 12, 80, 53]",923667,cn,九龍城寨之圍城,"In 1980s Hong Kong, troubled youth Chan Lok-kwun, a mainland refugee, struggles to survive in the Kowloon Walled City by joining underground fights. Betrayed by crime boss Mr. Big while trying to buy a fake ID, he steals drugs from him and seeks refuge in the Walled City, where he encounters Cyclone, a compassionate yet authoritative crime lord.",209.042,/h0tunBO4tMjvKVVG7fXqHgwOr5C.jpg,2024-04-23,Twilight of the Warriors: Walled In,False,6.5,190,"['Action', 'Adventure', 'Crime', 'Thriller']"
False,/zfbjgQE1uSd9wiPTX4VzsLi0rGG.jpg,"[18, 80]",278,en,The Shawshank Redemption,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",233.598,/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg,1994-09-23,The Shawshank Redemption,False,8.707,27002,"['Drama', 'Crime']"
False,/A7FKjE6jZyCnQRd4bOo7Yo0czLh.jpg,[35],55685,it,Avere vent'anni,"Lia and Tina are two beautiful girls who meet and realize that they have a lot in common. They are both young, beautiful and pissed off, so they decide to hitchhike their way to Rome to find Nazariota's commune, a place to stay for free and have all the sex they want... or so they think. Things don't go as they have planned though, and soon they become involved in prostitution, the police and an aggressive gang.",283.349,/6QXcWnq8Ln0uypX9y1e3r1wEpF.jpg,1978-07-14,To Be Twenty,False,5.9,70,['Comedy']
False,/xjotE7aFdZ0D8aGriYjFOtDayct.jpg,"[14, 12, 28, 10751, 10749]",102651,en,Maleficent,"A beautiful, pure-hearted young woman, Maleficent has an idyllic life growing up in a peaceable forest kingdom, until one day when an invading army threatens the harmony of the land. She rises to be the land's fiercest protector, but she ultimately suffers a ruthless betrayal – an act that begins to turn her heart into stone. Bent on revenge, Maleficent faces an epic battle with the invading King's successor and, as a result, places a curse upon his newborn infant Aurora. As the child grows, Maleficent realizes that Aurora holds the key to peace in the kingdom – and to Maleficent's true happiness as well.",125.851,/bDG3yei6AJlEAK3A5wN7RwFXQ7V.jpg,2014-05-28,Maleficent,False,7.1,13019,"['Fantasy', 'Adventure', 'Action', 'Family', 'Romance']"
False,/UJje4GZglCtC8ZtYY8T4jj1RHm.jpg,"[18, 10749]",72808,it,La carne,"A beautiful film which is basically about a man, a piano player, who meets and falls in love with a beautiful and voluptuous woman, who, by some strange procedure, leaves the man unable to move but with a permanent priapism! After some time he becomes sick of it and she relieves his paralysis. Eventually she gets bored and decides to leave, but he can't take it because he loves her…",238.419,/quhlqvkeRZN6tZrDSfJ41en6CDs.jpg,1991-05-09,The Flesh,False,5.4,46,"['Drama', 'Romance']"
